problem_id,rank,attempt_idx,prompt_family,generation_mode,proof_chars,selector_truncated,self_score,final_score,final_status,strict_pass,all_verifiers_passed,meta_valid_count,meta_checked_count,selected_round,selected_round_score,round_count,round_scores,initial_round_score,last_round_score,max_round_score,refinement_gain,refinement_last_delta,refine_outputs,refine_attempt_outputs,rollback_from_round,budget_restarts,handoffs,refine_budget_restarts,success,selected,internal_rank,internal_tie_count,external_grade
1,0,32,opd,opd_xml,7685,False,1.0,0.0,validated_low_score,False,False,2,4,0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,1,0,,2,2,0,True,False,,,
1,0,18,opd,opd_xml,3019,False,1.0,0.0,validated_low_score,False,False,4,4,0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,1,0,,3,3,0,True,False,,,
1,0,14,opd,opd_xml,5009,False,0.5,0.0,validated_low_score,False,False,3,4,0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,1,0,,2,2,0,True,False,,,
1,0,30,opd,opd_xml,13465,False,1.0,0.0,validated_low_score,False,False,4,4,1,0.0,2,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,2,0,,2,2,0,True,False,,,
1,0,16,opd,opd_xml,6718,False,1.0,0.0,validated_low_score,False,False,3,4,1,0.0,2,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,2,0,,2,2,0,True,False,,,
1,0,22,opd,opd_xml,5346,False,0.5,0.0,validated_low_score,False,False,2,4,2,0.0,3,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,3,0,,0,0,0,True,False,,,
1,0,12,opd,opd_xml,10050,False,1.0,0.0,validated_low_score,False,False,3,4,2,0.0,3,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,3,0,,1,1,0,True,False,,,
1,0,24,opd,opd_xml,13300,False,1.0,0.0,validated_low_score,False,False,4,4,2,0.0,3,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,3,0,,2,2,0,True,False,,,
1,0,10,opd,opd_xml,4637,False,1.0,0.0,validated_low_score,False,False,4,4,2,0.0,3,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,3,0,,1,1,0,True,False,,,
1,0,28,opd,opd_xml,9971,False,1.0,0.5,validated_low_score,False,False,3,4,4,0.5,5,"[0.0, 0.0, 0.0, 0.1875, 0.5]",0.0,0.5,0.5,0.5,0.5,4,0,,2,2,0,True,False,,,
1,0,6,opd,opd_xml,9844,False,1.0,0.0,validated_low_score,False,False,3,4,3,0.0,4,"[0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,4,0,,1,1,0,True,False,,,
1,0,26,opd,opd_xml,8938,False,1.0,0.125,validated_low_score,False,False,4,4,3,0.125,5,"[0.0, 0.0, 0.0, 0.125, 0.0]",0.0,0.0,0.125,0.125,0.0,4,0,4,2,2,0,True,False,,,
1,1,19,opd,opd_xml,5389,False,1.0,0.0,validated_low_score,False,False,4,4,0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,1,0,,0,0,0,True,False,,,
1,1,35,opd,opd_xml,7402,False,1.0,0.0,validated_low_score,False,False,3,4,0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,1,0,,2,2,0,True,False,,,
1,1,31,opd,opd_xml,347,False,0.0,0.0,validated_low_score,False,False,4,4,0,0.0,1,[0.0],0.0,0.0,0.0,0.0,0.0,1,0,,4,4,0,True,False,,,
1,1,17,opd,opd_xml,23248,False,1.0,0.0,validated_low_score,False,False,3,4,1,0.0,2,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,2,0,,1,1,0,True,False,,,
1,1,15,opd,opd_xml,7286,False,0.5,0.0,validated_low_score,False,False,4,4,2,0.0,3,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,3,0,,1,1,0,True,False,,,
