run_id,source,rank,problem,old_parseable,variant,temperature,generation_mode,base_url,prompt_tokens,completion_tokens,finish_reason,latency_s,repair_used,initial_valid,valid_handoff,valid_checkpoint,checkpoint_lemmas,structurally_reusable_lemmas,checkpoint_audit_overall,checkpoint_audit_reusable,checkpoint_audit_reprove,missing_sections,call_log,error
cand_10_proof_gen_r0-proof_checkpoint-t0.6-0be82c5fdbb0,rank0/llm_calls/1/cand_10_proof_gen_r0.txt,rank0,1,False,proof_checkpoint,0.6,monolithic,http://127.0.0.1:8000,122739,68342,length,863.7725930409506,True,False,False,False,0,0,,0,0,"established,promising,failed,uncertain,bottleneck,next_steps",/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_10_proof_gen_r0-proof_checkpoint-t0.6-0be82c5fdbb0.txt,
cand_10_proof_gen_r0-proof_checkpoint-t0.7-afde0cb085e9,rank0/llm_calls/1/cand_10_proof_gen_r0.txt,rank0,1,False,proof_checkpoint,0.7,monolithic,http://172.17.7.55:8000,122739,449,stop,42.710163809359074,False,True,True,True,0,0,NO_LEMMAS,0,0,,/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_10_proof_gen_r0-proof_checkpoint-t0.7-afde0cb085e9.txt,
cand_10_proof_gen_r0-proof_checkpoint-t1-e194ea3a563e,rank0/llm_calls/1/cand_10_proof_gen_r0.txt,rank0,1,False,proof_checkpoint,1.0,monolithic,http://127.0.0.1:8000,122739,66440,length,794.3017095951363,True,False,False,False,0,0,,0,0,"established,promising,failed,uncertain,bottleneck,next_steps",/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_10_proof_gen_r0-proof_checkpoint-t1-e194ea3a563e.txt,
cand_8_proof_gen_r0-proof_checkpoint-t0.6-89037f560c20,rank0/llm_calls/1/cand_8_proof_gen_r0.txt,rank0,1,True,proof_checkpoint,0.6,monolithic,http://172.17.7.55:8000,122746,66716,length,847.8908436838537,True,False,False,False,0,0,FAIL,1,1,"established,promising,failed,uncertain,bottleneck,next_steps",/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_8_proof_gen_r0-proof_checkpoint-t0.6-89037f560c20.txt,
cand_8_proof_gen_r0-proof_checkpoint-t0.7-f51a5bb5160c,rank0/llm_calls/1/cand_8_proof_gen_r0.txt,rank0,1,True,proof_checkpoint,0.7,monolithic,http://127.0.0.1:8000,122746,69333,length,841.549282788299,True,False,False,False,0,0,,0,0,"established,promising,failed,uncertain,bottleneck,next_steps",/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_8_proof_gen_r0-proof_checkpoint-t0.7-f51a5bb5160c.txt,
cand_8_proof_gen_r0-proof_checkpoint-t1-0894161c4352,rank0/llm_calls/1/cand_8_proof_gen_r0.txt,rank0,1,True,proof_checkpoint,1.0,monolithic,http://172.17.7.55:8000,122746,580,stop,30.420464268885553,False,True,True,True,0,0,NO_LEMMAS,0,0,,/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_8_proof_gen_r0-proof_checkpoint-t1-0894161c4352.txt,
cand_10_proof_gen_r0-proof_checkpoint-t0.6-60ceba62062f,rank0/llm_calls/2/cand_10_proof_gen_r0.txt,rank0,2,False,proof_checkpoint,0.6,monolithic,http://127.0.0.1:8000,122743,6940,stop,127.22847728151828,True,True,True,False,4,1,,0,0,,/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_10_proof_gen_r0-proof_checkpoint-t0.6-60ceba62062f.txt,
cand_10_proof_gen_r0-proof_checkpoint-t0.7-b588f7dfc783,rank0/llm_calls/2/cand_10_proof_gen_r0.txt,rank0,2,False,proof_checkpoint,0.7,monolithic,http://172.17.7.55:8000,122743,6192,stop,136.92176716867834,True,False,True,False,1,0,,0,0,,/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_10_proof_gen_r0-proof_checkpoint-t0.7-b588f7dfc783.txt,
cand_10_proof_gen_r0-proof_checkpoint-t1-53e416b2aec4,rank0/llm_calls/2/cand_10_proof_gen_r0.txt,rank0,2,False,proof_checkpoint,1.0,monolithic,http://127.0.0.1:8000,122743,23455,stop,343.3972364580259,True,False,True,False,0,0,FAIL,0,1,,/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_10_proof_gen_r0-proof_checkpoint-t1-53e416b2aec4.txt,
cand_6_proof_gen_r0-proof_checkpoint-t0.6-086d31d9a5fa,rank0/llm_calls/2/cand_6_proof_gen_r0.txt,rank0,2,True,proof_checkpoint,0.6,monolithic,http://172.17.7.55:8000,122293,2061,stop,53.08349702320993,True,False,True,True,1,1,FAIL,0,1,,/tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output/calls/cand_6_proof_gen_r0-proof_checkpoint-t0.6-086d31d9a5fa.txt,
